Code,typo
2200,Espace rural
2201,Couronne périurbaine
2203,Couronne périurbaine
2204,Espace rural
2205,Couronne périurbaine
2206,Espace rural
2207,Couronne périurbaine
2208,Couronne périurbaine
2209,Couronne périurbaine
2210,Couronne périurbaine
2211,Couronne périurbaine
2212,Pôle urbain
2213,Couronne périurbaine
2214,Couronne périurbaine
2215,Couronne périurbaine
2216,Couronne périurbaine
2217,Espace rural
2218,Couronne périurbaine
2219,Espace rural
2220,Couronne périurbaine
2221,Couronne périurbaine
2222,Espace rural
2223,Couronne périurbaine
2224,Couronne périurbaine
2225,Couronne périurbaine
2226,Pôle urbain
2227,Couronne périurbaine
2228,Couronne périurbaine
2229,Couronne périurbaine
2230,Couronne périurbaine
2231,Couronne périurbaine
2232,Couronne périurbaine
2233,Couronne périurbaine
2234,Couronne périurbaine
2235,Couronne périurbaine
2236,Couronne périurbaine
2237,Couronne périurbaine
2238,Couronne périurbaine
2239,Couronne périurbaine
2240,Couronne périurbaine
2241,Couronne périurbaine
2242,Couronne périurbaine
2243,Pôle urbain
2244,Espace rural
2245,Pôle urbain
2246,Espace rural
2248,Couronne périurbaine
2249,Couronne périurbaine
2250,Couronne périurbaine
2251,Espace rural
2252,Couronne périurbaine
2253,Couronne périurbaine
2254,Couronne périurbaine
2255,Couronne périurbaine
2256,Espace rural
2257,Pôle urbain
2258,Couronne périurbaine
2259,Couronne périurbaine
2260,Pôle urbain
2261,Couronne périurbaine
2262,Espace rural
2263,Couronne périurbaine
2264,Espace rural
2265,Espace rural
2266,Espace rural
2267,Couronne périurbaine
2268,Couronne périurbaine
2269,Espace rural
2270,Couronne périurbaine
2271,Couronne périurbaine
2272,Couronne périurbaine
2273,Couronne périurbaine
2274,Couronne périurbaine
2275,Espace rural
2276,Espace rural
2277,Couronne périurbaine
2278,Espace rural
2279,Couronne périurbaine
2280,Couronne périurbaine
2281,Couronne périurbaine
2282,Couronne périurbaine
2283,Espace rural
2284,Espace rural
2286,Espace rural
2287,Couronne périurbaine
2288,Couronne périurbaine
2289,Couronne périurbaine
2290,Pôle urbain
2291,Couronne périurbaine
2292,Pôle urbain
2293,Couronne périurbaine
2294,Couronne périurbaine
2295,Espace rural
2296,Couronne périurbaine
2297,Couronne périurbaine
2298,Espace rural
2299,Couronne périurbaine
2302,Couronne périurbaine
2303,Pôle urbain
2304,Pôle urbain
2305,Espace rural
2306,Couronne périurbaine
2307,Couronne périurbaine
2308,Espace rural
2309,Couronne périurbaine
2310,Couronne périurbaine
2311,Couronne périurbaine
2312,Espace rural
2313,Couronne périurbaine
2315,Couronne périurbaine
2316,Couronne périurbaine
2317,Couronne périurbaine
2318,Espace rural
2319,Couronne périurbaine
2320,Couronne périurbaine
2321,Pôle urbain
2322,Couronne périurbaine
2323,Couronne périurbaine
2324,Espace rural
2326,Couronne périurbaine
2327,Couronne périurbaine
2328,Couronne périurbaine
2329,Couronne périurbaine
2330,Couronne périurbaine
2331,Espace rural
2332,Couronne périurbaine
2333,Espace rural
2334,Espace rural
2335,Couronne périurbaine
2336,Espace rural
2337,Espace rural
2338,Couronne périurbaine
2339,Couronne périurbaine
2340,Pôle urbain
2341,Couronne périurbaine
2342,Espace rural
2343,Espace rural
2345,Couronne périurbaine
2346,Couronne périurbaine
2347,Couronne périurbaine
2349,Couronne périurbaine
2350,Couronne périurbaine
2351,Couronne périurbaine
2352,Couronne périurbaine
2353,Couronne périurbaine
2354,Espace rural
2355,Couronne périurbaine
2356,Couronne périurbaine
2357,Espace rural
2358,Espace rural
2359,Pôle urbain
2360,Couronne périurbaine
2361,Pôle urbain
2362,Espace rural
2363,Espace rural
2364,Couronne périurbaine
2366,Espace rural
2367,Couronne périurbaine
2368,Couronne périurbaine
2369,Couronne périurbaine
2370,Couronne périurbaine
2371,Pôle urbain
2372,Couronne périurbaine
2373,Couronne périurbaine
2374,Couronne périurbaine
2375,Couronne périurbaine
2376,Couronne périurbaine
2377,Espace rural
2378,Espace rural
2379,Espace rural
2380,Couronne périurbaine
2381,Pôle urbain
2382,Couronne périurbaine
2383,Couronne périurbaine
2384,Espace rural
2385,Espace rural
2386,Espace rural
2387,Couronne périurbaine
2388,Espace rural
2389,Couronne périurbaine
2390,Couronne périurbaine
2391,Espace rural
2392,Couronne périurbaine
2393,Couronne périurbaine
2395,Couronne périurbaine
2396,Couronne périurbaine
2397,Couronne périurbaine
2398,Couronne périurbaine
2399,Couronne périurbaine
2400,Couronne périurbaine
2401,Espace rural
2402,Espace rural
2403,Espace rural
